Name	Type	Set	Cost	Damage	Momentum	Target	Traits	Starting	Game Text
The Problem	Call Name	Advanced			2			The Problem	When Opponent must commit a card in their ring for your effect, they must commit an addional card. (Stun will make them commit two cards, two cards needed for Pressing, Finisher effectively has Pressing added to it...)
The Rainmaker	Call Name	Advanced			6			The Rainmaker	None, isn't the Momentum enough? 
The Rated-R Superstar	Call Name	Advanced			3			The Rated-R Superstar	Your Starting Draw Deck may contain an additional copy of three 0C cards, and may contain up to 4 total cost in cards. 
The Young Bucks Wrestler	Wrestler	Advanced			4		Tag Team	The Young Bucks Wrestler	Ongoing - Your Market is +1.
Three Amigos	Grapple	Advanced	12	4	4	T	Suplex		Enters - If you have a Strike or Submission in your ring, Attempt to Suplex opponent. If you have both, do it again.
Throw Money Around	Action	Advanced	0	0	1				Enters - Purchase a card, refill your Market. 
Timeless	Call Name	Advanced			1			Timeless	Your Starting Draw Deck may include up to 3 cost worth of Actions and 2 cost of any cards.
Toni Storm Manage	Manager	Advanced			3			Toni Storm Manager	Recovery Action - Pay 2M, Commit: Put an Action from your Discard beneath your Draw Deck.
Torture Rack 	Submission	Advanced	12	8	8	T			Ongoing - Opponent's Market is -2.
Trick Punch	Strike	Advanced	2	4	4	H	Punch		Has Echo and Sudden while you have A Punch in your ring
Until They Get Punched in the Face	Response	Advanced 	8	1	3		Punch		Reverse any Action. Special - You may Commit a Punch as an additional cost, if you do Reverse any card instead. Mike Tyson - Combo Attack
Vacant Wrestler	Wrestler	Advanced			3			Vacant	For your Kit choose one maneuver, one action, and one response regardless of wrestler logo. Those cards now have your logo. 
Versatile Striker	Action	Advanced	4	0	2				Enters - Reveal cards from the top of your Draw Deck until you reveal a Strike, play that card. If you have a Grapple in your ring it gets +3D, if you have a Submission in your ring it gains "Enters - Stun opponent then Scout." 
Vertical Suplex	Grapple	Advanced	6	6	6	T	Suplex		Can Reverse any Suplex. 
We Hurt People	Action	Advanced	6	0	2				Ongoing - Your Responses gain Power Attack. 
Well Trained	Action	Advanced	4	0	2				Ongoing - Choose a Trait, cards with that trait are -1C/+1D/+1M.
Where Did They Come From?	Action	Advanced	6	0	3				Ongoing - Cards played from outside your hand get +1D. (This includes Attempted tokens) 
Wild Thing	Call Name	Advanced			1			Wild Thing	Your Starting Draw Deck may include up to 3 cost worth of Maneuvers and 2 cost of any cards.
Will Ospreay Wrestler	Wrestler	Advanced			5			Will Ospreay Wrestler	Ongoing - Your face down cards have Hidden.   Tie-Up Action - Commit : Play a card from your hand face down (choose a maneuver type and a target, it's a 0/2/2)
Willow Action	Action	Advanced	6	0	2			Willow Nightingale Wrestler	Ongoing - Your Hold is +1.  Enters - Commit Willow, everybody Tucks cards from their discard pile equal to your Hold.
Willow Nightingale Manager	Manager	Advanced			2			Willow Nightingale 	Trigger - At the beginning of each Recovery Phase gain 2 Stamina. 
Willow Nightingale Wrestler	Wrestler	Advanced			4			Willow Nightingale Wrestler	Trigger - At the beginning of the Recovery Phase, gain Stamina equal to your Hold.
Win If You Can	Action	Advanced	13	0	6			Taz Wrestler	Resilient. Ongoing - All Grapples are +2D. 
Winded	Injury	Advanced	0		0				Ongoing - Your Hold is -1
Wise	Action	Advanced	9	0	4				Permanent.  Ongoing - Your cards are -1C.  Christian Cage Enters - Attempt to Anger the Crowd. 
Word of the Day	Action	Advanced	4	0	2			The Conglomeration	Enters - Choose any number of cards from your discard and market. You may pay 1M for each card to Tuck that card. If cards from your discard are tucked this way draw a card and gain 2 Stamina. Then refill your Market. 
You Got 99 Answers But Can't Solve One Problem	Action	Advanced	5	0	2				Enters - Opponent reveals their hand, choose a Response you find there. They must choose to discard that card or to commit cards in their ring equal to it's Momentum.  The Problem - This has Relentless if opponent has 5 cards in hand or more.
You Think You Know Him	Response	Advanced	6	0	3			Adam Copeland Wrestler	Has Sudden if you have two pairs of cards in your ring.  Reverse any card.
